date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2019-09-10,213.86,216.78,211.71,216.7,215.5401,31777931.0,0.0,1.0
2019-09-09,214.84,216.44,211.07,214.17,213.0237,27309401.0,0.0,1.0
2019-09-06,214.05,214.42,212.51,213.26,212.1185,19362294.0,0.0,1.0
2019-09-05,212.0,213.97,211.51,213.28,212.1384,23946984.0,0.0,1.0
2019-09-04,208.39,209.48,207.32,209.19,208.0703,19216820.0,0.0,1.0
2019-09-03,206.43,206.98,204.22,205.7,204.599,20059574.0,0.0,1.0
2019-08-30,210.16,210.45,207.2,208.74,207.6227,21162561.0,0.0,1.0
2019-08-29,208.5,209.32,206.655,209.01,207.8913,21007652.0,0.0,1.0
2019-08-28,204.1,205.72,203.32,205.53,204.4299,15957632.0,0.0,1.0
2019-08-27,207.86,208.55,203.53,204.16,203.0673,25897344.0,0.0,1.0
2019-08-26,205.86,207.19,205.0573,206.49,205.3848,26066130.0,0.0,1.0
2019-08-23,209.43,212.051,201.0,202.64,201.5554,46882843.0,0.0,1.0
2019-08-22,213.19,214.435,210.75,212.46,211.3228,22267819.0,0.0,1.0
2019-08-21,212.99,213.65,211.6032,212.64,211.5019,21564747.0,0.0,1.0
2019-08-20,210.88,213.35,210.32,210.36,209.2341,26919529.0,0.0,1.0
2019-08-19,210.62,212.7307,210.025,210.35,209.2241,24431915.0,0.0,1.0
2019-08-16,204.28,207.16,203.84,206.5,205.3947,28813624.0,0.0,1.0
2019-08-15,203.46,205.14,199.67,201.74,200.6602,27883363.0,0.0,1.0
2019-08-14,203.16,206.44,202.5869,202.75,201.6648,36547443.0,0.0,1.0
2019-08-13,201.02,212.14,200.83,208.97,207.8515,47539786.0,0.0,1.0
2019-08-12,199.62,202.0516,199.15,200.48,199.4069,22481889.0,0.0,1.0
2019-08-09,201.3,202.76,199.29,200.99,199.9142,24619746.0,0.77,1.0
2019-08-08,200.2,203.53,199.39,203.43,201.5689,27009523.0,0.0,1.0
2019-08-07,195.41,199.56,193.82,199.04,197.2191,33364400.0,0.0,1.0
2019-08-06,196.31,198.067,194.04,197.0,195.1978,35824787.0,0.0,1.0
2019-08-05,197.99,198.649,192.58,193.34,191.5712,52392969.0,0.0,1.0
2019-08-02,205.53,206.43,201.63,204.02,202.1535,40862122.0,0.0,1.0
2019-08-01,213.9,218.03,206.7435,208.43,206.5232,54017922.0,0.0,1.0
2019-07-31,216.42,221.37,211.3,213.04,211.091,69281361.0,0.0,1.0
2019-07-30,208.76,210.16,207.31,208.78,206.87,33935718.0,0.0,1.0
2019-07-29,208.46,210.64,208.44,209.68,207.7618,21673389.0,0.0,1.0
2019-07-26,207.48,209.73,207.14,207.74,205.8395,17618874.0,0.0,1.0
2019-07-25,208.89,209.24,206.73,207.02,205.1261,13909535.0,0.0,1.0
2019-07-24,207.67,209.15,207.17,208.67,206.761,14991567.0,0.0,1.0
2019-07-23,208.46,208.91,207.29,208.84,206.9294,18355210.0,0.0,1.0
2019-07-22,203.65,207.23,203.61,207.22,205.3243,22277932.0,0.0,1.0
2019-07-19,205.79,206.5,202.36,202.59,200.7366,20929307.0,0.0,1.0
2019-07-18,204.0,205.88,203.7,205.66,203.7785,18582161.0,0.0,1.0
2019-07-17,204.05,205.0915,203.27,203.35,201.4897,14107450.0,0.0,1.0
2019-07-16,204.59,206.11,203.5,204.5,202.6292,16866816.0,0.0,1.0
2019-07-15,204.09,205.87,204.0,205.21,203.3327,16947420.0,0.0,1.0
2019-07-12,202.45,204.0,202.2,203.3,201.4401,17595212.0,0.0,1.0
