date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2019-07-10,91.48,91.49,91.48,91.49,90.4601,1257225.0,0.0,1.0
2019-07-09,91.48,91.48,91.47,91.48,90.4502,1612390.0,0.0,1.0
2019-07-08,91.48,91.48,91.47,91.47,90.4403,3557022.0,0.0,1.0
2019-07-05,91.47,91.48,91.47,91.47,90.4403,1294535.0,0.0,1.0
2019-07-03,91.48,91.48,91.47,91.48,90.4502,1988645.0,0.0,1.0
2019-07-02,91.45,91.46,91.45,91.45,90.4206,5031655.0,0.0,1.0
2019-07-01,91.45,91.46,91.44,91.44,90.4107,4008160.0,0.1651,1.0
2019-06-28,91.62,91.62,91.61,91.61,90.4155,1113010.0,0.0,1.0
2019-06-27,91.6,91.61,91.6,91.6,90.4056,615763.0,0.0,1.0
2019-06-26,91.59,91.6,91.59,91.6,90.4056,1006382.0,0.0,1.0
2019-06-25,91.59,91.59,91.58,91.58,90.3859,826603.0,0.0,1.0
2019-06-24,91.58,91.59,91.58,91.58,90.3859,1223675.0,0.0,1.0
2019-06-21,91.57,91.58,91.57,91.57,90.376,2016700.0,0.0,1.0
2019-06-20,91.57,91.58,91.57,91.57,90.376,2524070.0,0.0,1.0
2019-06-19,91.55,91.56,91.55,91.56,90.3662,521312.0,0.0,1.0
2019-06-18,91.54,91.55,91.54,91.54,90.3464,3183130.0,0.0,1.0
2019-06-17,91.54,91.55,91.54,91.54,90.3464,3386041.0,0.0,1.0
2019-06-14,91.54,91.54,91.53,91.54,90.3464,601267.0,0.0,1.0
2019-06-13,91.52,91.53,91.52,91.53,90.3366,4044355.0,0.0,1.0
2019-06-12,91.5,91.51,91.5,91.5,90.3069,2308831.0,0.0,1.0
2019-06-11,91.49,91.5,91.49,91.49,90.2971,1563691.0,0.0,1.0
2019-06-10,91.5,91.5,91.49,91.5,90.3069,2795328.0,0.0,1.0
2019-06-07,91.49,91.49,91.48,91.48,90.2872,2299035.0,0.0,1.0
2019-06-06,91.47,91.49,91.47,91.49,90.2971,7013275.0,0.0,1.0
2019-06-05,91.46,91.46,91.45,91.46,90.2675,2028741.0,0.0,1.0
2019-06-04,91.45,91.46,91.45,91.46,90.2675,9008810.0,0.0,1.0
2019-06-03,91.44,91.45,91.44,91.44,90.2477,3486934.0,0.176,1.0
2019-05-31,91.62,91.62,91.61,91.62,90.2517,2770320.0,0.0,1.0
2019-05-30,91.61,91.62,91.61,91.62,90.2517,1223283.0,0.0,1.0
2019-05-29,91.6,91.6,91.59,91.59,90.2221,4239629.0,0.0,1.0
2019-05-28,91.59,91.59,91.58,91.59,90.2221,981300.0,0.0,1.0
2019-05-24,91.58,91.59,91.58,91.58,90.2123,1337064.0,0.0,1.0
2019-05-23,91.57,91.58,91.57,91.58,90.2123,1198911.0,0.0,1.0
2019-05-22,91.56,91.56,91.55,91.56,90.1926,1218455.0,0.0,1.0
2019-05-21,91.55,91.55,91.54,91.54,90.1729,673667.0,0.0,1.0
2019-05-20,91.55,91.55,91.54,91.54,90.1729,524345.0,0.0,1.0
2019-05-17,91.54,91.54,91.53,91.53,90.163,339273.0,0.0,1.0
2019-05-16,91.52,91.53,91.52,91.52,90.1532,1681578.0,0.0,1.0
2019-05-15,91.51,91.51,91.5,91.51,90.1433,1062063.0,0.0,1.0
2019-05-14,91.51,91.51,91.5,91.5,90.1335,1097194.0,0.0,1.0
2019-05-13,91.5,91.5,91.49,91.49,90.1236,1953020.0,0.0,1.0
2019-05-10,91.5,91.5,91.49,91.5,90.1335,966623.0,0.0,1.0
2019-05-09,91.49,91.49,91.48,91.48,90.1138,2029937.0,0.0,1.0
2019-05-08,91.47,91.47,91.46,91.47,90.1039,980925.0,0.0,1.0
2019-05-07,91.47,91.47,91.46,91.47,90.1039,1217874.0,0.0,1.0
2019-05-06,91.46,91.46,91.45,91.46,90.0941,879780.0,0.0,1.0
2019-05-03,91.45,91.46,91.45,91.45,90.0842,1443502.0,0.0,1.0
2019-05-02,91.45,91.45,91.44,91.44,90.0744,856065.0,0.0,1.0
2019-05-01,91.43,91.43,91.42,91.43,90.0645,1237597.0,0.1738,1.0
2019-04-30,91.6,91.6,91.59,91.6,90.0608,1161446.0,0.0,1.0
2019-04-29,91.59,91.6,91.59,91.59,90.0509,667707.0,0.0,1.0
2019-04-26,91.59,91.59,91.58,91.58,90.0411,2449407.0,0.0,1.0
2019-04-25,91.59,91.59,91.58,91.59,90.0509,1838460.0,0.0,1.0
2019-04-24,91.57,91.57,91.56,91.57,90.0313,1103543.0,0.0,1.0
2019-04-23,91.55,91.56,91.55,91.55,90.0116,912094.0,0.0,1.0
2019-04-22,91.55,91.56,91.55,91.55,90.0116,1171425.0,0.0,1.0
2019-04-18,91.55,91.55,91.54,91.55,90.0116,2976386.0,0.0,1.0
2019-04-17,91.54,91.55,91.54,91.54,90.0018,691584.0,0.0,1.0
2019-04-16,91.52,91.52,91.51,91.52,89.9821,767859.0,0.0,1.0
2019-04-15,91.51,91.52,91.51,91.52,89.9821,1087901.0,0.0,1.0
2019-04-12,91.5,91.51,91.5,91.51,89.9723,890658.0,0.0,1.0
2019-04-11,91.5,91.51,91.5,91.51,89.9723,674925.0,0.0,1.0
2019-04-10,91.49,91.49,91.48,91.48,89.9428,2261559.0,0.0,1.0
2019-04-09,91.47,91.48,91.47,91.48,89.9428,1437995.0,0.0,1.0
2019-04-08,91.48,91.48,91.47,91.47,89.933,1349185.0,0.0,1.0
2019-04-05,91.46,91.47,91.46,91.47,89.933,655711.0,0.0,1.0
2019-04-04,91.46,91.47,91.46,91.47,89.933,1207991.0,0.0,1.0
2019-04-03,91.44,91.45,91.44,91.44,89.9035,1422420.0,0.0,1.0
2019-04-02,91.44,91.44,91.43,91.43,89.8936,1138752.0,0.0,1.0
2019-04-01,91.43,91.44,91.43,91.44,89.9035,2419239.0,0.1756,1.0
2019-03-29,91.6,91.61,91.6,91.6,89.8881,1576091.0,0.0,1.0
2019-03-28,91.6,91.6,91.59,91.6,89.8881,924149.0,0.0,1.0
2019-03-27,91.57,91.58,91.57,91.58,89.8685,2214078.0,0.0,1.0
